Word	Havg	StDev	GoogleRank	translation
流	4654	5.20	1.2122	1840	Flow
冒险	4655	5.20	1.4846	5082	Adventure
交	4656	5.20	1.2122	1022	Pay
新疆	4657	5.20	1.4142	2534	Xinjiang
使用	4658	5.20	1.3093	238	Use
可能	4659	5.20	1.2122	133	Possible
钟	4660	5.20	1.1429	1652	Bell
产生	4661	5.20	0.7825	317	Produce
一共	4662	5.20	0.8571	9982	Altogether
类	4663	5.20	0.8571	426	Category
原先	4664	5.20	1.2617	5429	Original
用户	4665	5.20	0.8571	1463	User
至	4666	5.20	0.8081	312	To
祖	4667	5.20	1.2289	9935	Ancestor
片刻	4668	5.20	0.9476	9716	Moment
扶植	4669	5.20	1.4428	6180	Foster
an	4670	5.20	1.0498	4299	an
露出	4671	5.20	1.3248	6550	Reveal
剧	4672	5.20	1.0102	2407	Drama
宙	4673	5.20	1.2936	8935	Universe
通路	4674	5.20	1.1606	8777	Path
首	4675	5.20	0.9897	1621	First
变化	4676	5.20	1.2454	316	Change
列宁	4677	5.20	1.3093	3032	Lenin
询	4678	5.20	1.2778	5410	Query
名额	4679	5.20	0.8081	6234	Places
选	4680	5.20	0.9035	1113	Selected
垂直	4681	5.20	1.3248	5101	Vertical
合并	4682	5.20	0.8081	2646	Merger
类型	4683	5.20	1.0498	1034	Type
当做	4684	5.20	1.1249	5457	As
总队	4685	5.20	1.1780	7790	Corps
話	4686	5.20	1.1952	9768	Words
探	4687	5.20	1.0102	5594	Explore
纠正	4688	5.20	1.4428	2065	Correction
移动	4689	5.20	1.0302	2640	Mobile
坐标	4690	5.20	1.0690	6898	Coordinate
外延	4691	5.20	1.4983	7688	Epitaxial
向	4692	5.20	0.6061	166	To
立方	4693	5.20	0.7825	5241	Cube
词义	4694	5.20	1.1249	8307	Meaning of a word
部队	4695	5.20	1.2122	777	Force
自古	4696	5.20	1.2454	6144	Since ancient times
路	4697	5.20	1.0498	937	Road
戏	4698	5.20	1.0498	4623	Play
诸多	4699	5.20	0.9897	3244	Many
多媒体	4700	5.20	1.1952	6499	Multimedia
june	4701	5.20	0.9035	9307	june
住处	4702	5.20	1.1780	6835	Residence
信号	4703	5.20	1.1429	3069	Signal
动词	4704	5.20	0.8806	8056	Verb
叙事	4705	5.20	1.1066	6896	Narrative
整理	4706	5.20	1.2936	2081	Arrange
纽带	4707	5.20	1.1606	6666	Link
众人	4708	5.20	1.2289	5994	People
民法	4709	5.20	1.2454	3874	Civil
商谈	4710	5.20	0.8806	7257	Discuss
定期	4711	5.20	0.8081	2408	Regular
约	4712	5.20	1.1249	996	Approximately
周报	4713	5.20	1.0690	9460	Weekly
书面	4714	5.20	1.0498	2731	Written
寻找	4715	5.20	1.1429	1795	Search
郡	4716	5.20	0.7559	6292	County
记	4717	5.20	1.3553	1371	Remember
面前	4718	5.20	1.0302	1742	Before
流入	4719	5.20	0.9476	6443	Flow into
台阶	4720	5.20	0.9897	7286	Steps
她	4721	5.20	0.6701	225	She
投票	4722	5.20	1.4142	3449	Vote
握	4723	5.20	0.9897	3963	Grip
新闻	4724	5.20	0.9035	843	News
温州	4725	5.20	0.9689	5870	Wenzhou
知觉	4726	5.20	0.9897	5604	Perception
配件	4727	5.20	0.8081	5033	Fitting
本	4728	5.20	0.7559	197	This
前述	4729	5.20	1.1429	6957	Aforementioned
七	4730	5.20	0.8806	193	Seven
生理学	4731	5.20	1.2936	8031	Physiology
并用	4732	5.20	0.9897	6132	And use
填补	4733	5.20	1.1780	5240	Fill
注册	4734	5.20	0.9897	1673	Registration
猴子	4735	5.20	1.4569	8737	Monkey
桌子	4736	5.20	1.0690	6092	Tables
地名	4737	5.20	0.9689	8569	Place name
过去	4738	5.20	1.1952	513	Past
有些	4739	5.20	1.2122	637	Some
极	4740	5.20	1.3093	734	Pole
测量	4741	5.20	1.3093	3459	Measure
对面	4742	5.20	0.9689	6017	Opposite
双手	4743	5.20	1.2778	8557	Hands
室	4744	5.20	0.8571	1284	Room
兹	4745	5.20	1.1429	6863	Hereby
俩	4746	5.20	0.9258	5659	Both
百人	4747	5.20	1.0880	4421	Hundred people
兑现	4748	5.20	1.4983	6235	Honor
西	4749	5.20	1.1066	1302	Western
职	4750	5.20	1.1066	1741	Office
破除	4751	5.20	1.3401	9808	Get rid of
老虎	4752	5.20	1.3401	8793	Tiger
滨	4753	5.20	0.8081	9348	Shore
通俗	4754	5.20	1.0690	4608	Popular
单词	4755	5.20	1.0302	9968	Word
分化	4756	5.20	1.3553	3332	Differentiation
也	4757	5.20	0.8330	25	Also
us	4758	5.20	1.5649	8001	us
今	4759	5.20	1.2122	2551	Today
播	4760	5.20	1.1429	4641	Broadcast
要	4761	5.20	1.2122	45	Wish
序	4762	5.20	0.6999	2626	Sequence
物质	4763	5.20	1.0102	628	Substance
立法	4764	5.20	1.0690	1128	Legislation
在于	4765	5.20	1.0880	861	Lie in
净值	4766	5.20	1.3248	7951	Net worth
如上	4767	5.20	0.8571	5334	Above
乔	4768	5.20	1.1066	5110	Joe
意象	4769	5.20	0.9035	6085	Imagery
预料	4770	5.20	0.9476	5713	Expect
弟子	4771	5.20	1.0102	8036	Disciple
网点	4772	5.20	1.1780	4433	Branch
物流	4773	5.20	1.1606	3798	Logistics
光盘	4774	5.20	0.8330	8603	CD
亚历山大	4775	5.20	1.6537	9864	Alexandria
教职员	4776	5.20	1.0690	7179	Staff
in	4777	5.20	1.1066	1141	in
声明	4778	5.20	0.9897	1947	Statement
放出	4779	5.20	0.8806	8977	Release
я	4780	5.20	1.2778	7675	я
频道	4781	5.20	1.0690	7933	Channel
市镇	4782	5.20	0.7825	6759	Town
策	4783	5.20	1.1780	1929	Plan
查看	4784	5.20	1.0498	7983	View
历任	4785	5.20	0.9897	6555	Former
列车	4786	5.20	0.9035	7907	Train
蒸汽	4787	5.20	0.5345	9577	Steam
早晚	4788	5.20	1.0498	9671	Sooner or later
民政	4789	5.20	1.0880	3179	Civil administration
李	4790	5.20	1.3553	1894	Lee
顺便	4791	5.20	1.0102	9733	Incidentally
是正	4792	5.20	0.7284	7842	Is positive
审慎	4793	5.20	1.3553	7944	Cautious
道家	4794	5.20	1.3401	8231	Taoism
制作	4795	5.20	0.8081	2348	Manufacture
使命	4796	5.20	1.3702	2924	Mission
顾	4797	5.20	1.1429	4833	Gu
消化	4798	5.20	1.1429	4414	Digest
门	4799	5.20	0.7825	1020	Door
椅子	4800	5.20	1.1066	6589	Chair
那个	4801	5.20	1.2454	1540	That
覆盖	4802	5.20	1.0302	3341	Cover
语句	4803	5.20	1.0690	6303	Statement
刚	4804	5.20	1.0302	3518	Just
太原	4805	5.20	0.9897	7514	Taiyuan
一口	4806	5.20	1.0102	8446	Flatly
為	4807	5.20	0.8806	3695	To
一周	4808	5.20	1.1952	6423	One week
馆	4809	5.20	1.3248	2143	Shop
六	4810	5.20	0.6701	165	Six
联席	4811	5.20	1.1249	5217	Joint
集结	4812	5.20	1.0880	8125	Build-
厚	4813	5.20	0.9897	4588	Thick
分配	4814	5.20	1.0690	598	Allocation
大西洋	4815	5.20	1.2778	7304	Atlantic
竞争	4816	5.20	1.3702	442	Competition
遗迹	4817	5.20	1.1429	5995	Remains
改建	4818	5.20	1.2936	5884	Alterations
笔记	4819	5.20	1.1952	5303	Notes
就近	4820	5.20	1.2122	9766	Nearby
脚下	4821	5.20	1.1429	5942	Foot
委派	4822	5.20	1.1780	5840	Appoint
无需	4823	5.20	1.1952	7199	No
咨询	4824	5.20	0.7284	1678	Advice
转向	4825	5.20	1.0498	2747	Steering
有机体	4826	5.20	1.2289	8485	Organism
揭示	4827	5.20	1.1952	2374	Reveal
命名	4828	5.20	0.9476	3734	Name
审阅	4829	5.20	0.8571	9663	Review
阐明	4830	5.20	1.2617	3430	Clarify
本身	4831	5.20	0.8806	789	Itself
日内瓦	4832	5.20	1.4142	5644	Geneva
回合	4833	5.20	1.0690	7875	Round
汲取	4834	5.20	1.2289	5880	Learn
黄河	4835	5.20	1.0880	2815	Yellow River
汕头	4836	5.20	1.1952	9219	Shantou
经	4837	5.20	1.0690	285	After
提取	4838	5.20	1.1606	3911	Extract
法典	4839	5.20	0.9897	5500	Codex
体	4840	5.20	0.8081	694	Body
出生率	4841	5.20	1.2454	6068	Birth rate
点点	4842	5.20	0.9035	5481	Little
标签	4843	5.20	1.1952	9408	Tag
shall	4844	5.20	1.4142	8750	shall
作品	4845	5.20	1.1606	593	Works
挂牌	4846	5.20	0.8806	9337	Listing
程	4847	5.20	1.1066	1346	Journey
纺织品	4848	5.20	0.7825	4259	Textile
总长	4849	5.20	1.1249	6241	Length
保加利亚	4850	5.20	1.2289	7893	Bulgaria
查询	4851	5.18	1.1192	5091	Inquiry
即将	4852	5.18	1.1726	2562	About
丁	4853	5.18	0.8497	5139	Ding
功率	4854	5.18	0.9190	7804	Power
公私合营	4855	5.18	0.9190	6363	PPP
保证金	4856	5.18	1.4803	6372	Security deposit
余力	4857	5.18	1.1192	7823	Nothing
沿岸	4858	5.18	0.9190	5312	Coast
攻关	4859	5.18	0.9624	7315	Research
福特	4860	5.18	0.8965	7620	Ford
水利	4861	5.18	1.2070	2863	Water conservation
装备	4862	5.18	1.3045	2013	Equipment
地方	4863	5.18	1.0631	213	Local
进去	4864	5.18	1.0240	5814	Go
宇	4865	5.18	1.1373	7650	Yu
族人	4866	5.18	1.2403	9292	Clansman
测定	4867	5.18	0.7197	5698	Determine
出来	4868	5.18	1.1192	586	Come out
那里	4869	5.18	1.2567	1390	There
电力	4870	5.18	0.8497	2144	Electricity
块	4871	5.18	1.0631	2475	Block
情況	4872	5.18	1.2403	6378	Situation
简略	4873	5.18	1.1008	8765	Brief
东欧	4874	5.18	1.2567	3878	Eastern Europe
可见	4875	5.18	1.0631	1452	Visible
武汉	4876	5.18	1.5077	3528	Wuhan
各个	4877	5.18	1.0039	906	Each
大队	4878	5.18	0.8003	3551	Battalion
光学	4879	5.18	0.7743	8519	Optics
国共	4880	5.18	1.0437	3913	KMT
population	4881	5.18	1.4525	8159	population
签订	4882	5.18	1.1008	1593	Signed
篮球	4883	5.18	1.5477	6810	Basketball
指针	4884	5.18	1.0039	6383	Pointer
气象	4885	5.18	1.0631	3785	Meteorological
战国	4886	5.18	1.1726	5921	Warring States
型号	4887	5.18	1.3045	6568	Model
商榷	4888	5.18	1.1192	8842	Discuss
喻	4889	5.18	1.1551	6431	Yu
理由	4890	5.18	0.9833	1727	Reason
定购	4891	5.18	0.8965	8195	Order
there	4892	5.18	0.8734	7493	there
加工	4893	5.18	1.2403	1181	Machining
价格	4894	5.18	1.1373	336	Price
论据	4895	5.18	0.6908	7148	Argument
纪律	4896	5.18	1.1373	1641	Discipline
已经	4897	5.18	0.9624	448	Already
民航	4898	5.18	1.1551	4810	Civil aviation
作出	4899	5.18	1.0821	618	Made
映	4900	5.18	0.9190	3603	Reflect
宅	4901	5.18	1.1726	8381	Residence
大和	4902	5.18	1.3952	8941	Japan
议事	4903	5.18	0.8254	5156	Procedure
工人	4904	5.18	1.0039	441	Worker
线	4905	5.18	0.8734	1361	Line
宾馆	4906	5.18	1.5609	4374	Guesthouse
供销	4907	5.18	0.8254	4805	Supply and marketing
诸侯	4908	5.18	1.2728	6393	Prince
承担	4909	5.18	1.4241	994	Bear
诸如	4910	5.18	0.8497	3172	Such as
协	4911	5.18	0.7475	2461	Assist
东部	4912	5.18	1.1726	2544	East
统筹	4913	5.18	0.9409	4662	Co-ordination
铁	4914	5.18	0.7475	4434	Iron
原因	4915	5.18	0.8965	395	Reason
about	4916	5.18	0.6606	8565	about
手工业	4917	5.18	1.3200	2069	Handicraft
秘密	4918	5.18	1.4097	1713	Secret
三国	4919	5.18	1.0821	3570	Three
取决	4920	5.18	0.8965	2151	Depends
行列	4921	5.18	0.8497	5889	Row
采用	4922	5.18	1.1551	808	Adoption
化身	4923	5.18	1.1008	9711	Incarnation
昆虫	4924	5.18	1.4803	8942	Insect
电线	4925	5.18	1.0437	9918	Wire
好像	4926	5.18	1.2237	3589	Like
社团	4927	5.18	1.0039	4391	Societies
题	4928	5.18	1.1192	733	Title
磁带	4929	5.18	1.1192	9848	Magnetic tape
射	4930	5.18	1.3952	6467	Shoot
院	4931	5.18	1.2403	704	Hospital
凭借	4932	5.18	1.3045	3964	Rely
币值	4933	5.18	0.8734	9788	Currency
庭	4934	5.18	1.1551	3190	Court
等同	4935	5.18	1.0039	6310	Equate
派	4936	5.18	1.4803	1173	Faction
惯	4937	5.18	1.1373	6069	Used
控股	4938	5.18	1.2728	4052	Holdings
恩格斯	4939	5.18	1.6123	2677	Engels
province	4940	5.18	1.1899	8677	province
掩护	4941	5.18	1.3656	4944	Cover
火柴	4942	5.18	1.3656	9661	Matches
老挝	4943	5.18	1.0437	7633	Laos
の	4944	5.18	1.1373	6295	Full
坦	4945	5.18	0.9624	7618	Frank
工作	4946	5.18	1.1008	34	Work
他人	4947	5.18	1.0039	1949	Others
足球	4948	5.18	1.3354	4840	Football
主机	4949	5.18	0.7743	7002	Host computer
草	4950	5.18	0.9190	4890	Grass
若干	4951	5.18	1.1726	1813	Several
民生	4952	5.18	1.0631	5616	People's livelihood
將	4953	5.18	1.1008	7044	Will
括	4954	5.18	0.8965	2726	Include
出自	4955	5.18	0.9833	6611	From
版权	4956	5.18	0.9624	5093	Copyright
唯	4957	5.18	1.0240	1634	Only
期间	4958	5.18	0.9190	673	Period
卡特	4959	5.18	1.1551	7359	Carter
学制	4960	5.18	0.7475	9473	School system
省份	4961	5.18	0.8003	5746	Province
h	4962	5.18	0.6289	3492	h
在家	4963	5.18	1.4665	4558	Home
称	4964	5.18	0.6606	893	Call
犹太	4965	5.18	1.3805	6528	Jewish
基于	4966	5.18	1.2070	2107	Based on
输出	4967	5.18	1.4241	2839	Export
地质	4968	5.18	0.9833	3199	Geology
北上	4969	5.18	0.7743	9179	North
届	4970	5.18	0.8254	690	Session
先生	4971	5.18	1.0821	765	Mr.
翻译	4972	5.18	1.3656	2052	Translation
主办	4973	5.18	1.0039	4092	Host
评级	4974	5.18	1.2887	9094	Ratings
辽宁	4975	5.18	1.0039	3462	Liaoning Province
船舶	4976	5.18	1.2070	3319	Shipping
位置	4977	5.18	1.1551	1424	Location
动向	4978	5.18	1.1899	5700	Trend
许久	4979	5.18	1.2567	9153	For a long time
必由	4980	5.18	1.2567	9007	Required by the
数	4981	5.18	0.8734	810	Number
合成	4982	5.18	0.8497	5084	Synthesis
ch	4983	5.18	1.1726	9681	ch
頁	4984	5.18	0.9624	3908	Page
这些	4985	5.18	0.6289	101	These
协定	4986	5.18	1.0240	1613	Agreement
南京	4987	5.18	0.8497	1927	Nanjing
from	4988	5.18	1.0631	3776	from
致	4989	5.18	1.2403	2085	Cause
四部	4990	5.18	0.8965	9977	Four
Ш	4991	5.18	1.2237	8347	Ш
按期	4992	5.18	1.1008	7398	On schedule
总务	4993	5.18	1.2728	6418	General
瓦尔	4994	5.18	1.0821	8859	Val
英文	4995	5.18	1.3354	3224	English
资料	4996	5.18	1.0631	345	Data
文字	4997	5.18	1.2728	921	Writing
核定	4998	5.18	0.9624	4147	Approved
指定	4999	5.18	0.8734	1953	Designation
g	5000	5.18	1.1192	5208	g
摆	5001	5.18	1.2070	4043	Pendulum
直至	5002	5.18	1.0240	3627	Until
出示	5003	5.18	1.0821	9750	Show
修	5004	5.18	1.1192	4140	Repair
概况	5005	5.18	0.8965	5155	Overview
外出	5006	5.18	1.1008	5564	Out
核对	5007	5.18	1.2403	7029	Check
透视	5008	5.18	1.2237	8359	Perspective
体验	5009	5.18	1.3045	2566	Experience
集约	5010	5.18	1.0039	6785	Intensive
海里	5011	5.18	0.9190	7881	Nautical mile
而	5012	5.18	0.9190	35	And
宣布	5013	5.18	1.0821	1602	Announce
镜	5014	5.18	1.1551	7600	Mirror
有史	5015	5.18	0.9190	8148	In history
打响	5016	5.18	1.3200	9148	Start shooting
结尾	5017	5.18	1.2403	6006	Ending
规格	5018	5.18	0.8497	4537	Specification
作为	5019	5.18	0.6606	183	As
监护人	5020	5.18	1.1192	7598	Guardian
慎	5021	5.18	1.4241	9004	Cautious
安置	5022	5.18	1.1899	3263	Resettlement
決定	5023	5.18	1.0039	8937	Decide
公共	5024	5.18	1.3656	991	Public
历年	5025	5.18	1.0437	6560	Over the years
责任	5026	5.18	1.2887	465	Responsibility
赶紧	5027	5.18	1.2728	8863	Rush
风云	5028	5.18	1.4384	7121	Wind and cloud
外贸	5029	5.18	1.2070	1885	Foreign trade
步伐	5030	5.18	1.0631	2462	Pace
三	5031	5.18	0.9190	49	Three
舰队	5032	5.18	1.2237	5083	Fleet
陈列	5033	5.18	1.0039	5419	Display
教会	5034	5.18	1.3200	3578	Church
they	5035	5.18	1.2567	7110	they
枕	5036	5.18	0.9190	5969	Pillow
大宗	5037	5.18	1.1373	8878	Bulk
期刊	5038	5.18	1.3952	4432	Periodical
跑	5039	5.18	0.9833	3082	Run
识别	5040	5.18	0.7197	4538	Identification
西安	5041	5.18	1.1551	4502	Xi'an
岩石	5042	5.18	1.2567	7160	Rock
输送	5043	5.18	0.7475	7873	Delivery
问	5044	5.18	1.0240	723	Ask
装置	5045	5.18	0.8254	4343	Equipment
充当	5046	5.18	1.2237	5397	Act as
尚	5047	5.18	0.9833	2020	Yet
侧重	5048	5.18	1.1192	5133	Focus
所要	5049	5.18	0.6289	3980	To be
后期	5050	5.18	1.0437	2648	Late stage
公认	5051	5.18	1.3952	4440	Accepted
地面	5052	5.18	1.0039	3411	Ground
需要	5053	5.18	1.4384	167	Need
文章	5054	5.18	1.2887	617	Article
宣	5055	5.18	1.2403	4536	Declare
名词	5056	5.18	0.9833	4573	Noun
将近	5057	5.18	0.9624	5494	Nearly
驾驶	5058	5.18	1.1192	3803	Drive
不妨	5059	5.18	1.0821	4563	Wish
开关	5060	5.18	0.8497	9103	Switch
迁	5061	5.18	1.3200	4879	Move
随即	5062	5.18	1.3045	4621	Immediately
放款	5063	5.18	1.3506	8783	Loans
状态	5064	5.18	0.9190	814	Status
它们	5065	5.18	0.9409	464	They
及	5066	5.18	0.9624	127	And
转动	5067	5.18	1.1008	7480	Turn
里	5068	5.18	0.9409	222	In
初期	5069	5.18	1.1726	1711	Beginning
椅	5070	5.18	0.6606	6981	Chair
心思	5071	5.18	1.2728	6477	Thought
打开	5072	5.18	0.9624	2211	Open
一头	5073	5.18	1.0039	6889	A
符号	5074	5.18	1.0039	2556	Symbol
包括	5075	5.18	0.5602	249	Include
外长	5076	5.18	1.1373	6030	Foreign minister
名义	5077	5.18	0.9624	2589	Name
州	5078	5.18	1.0437	1764	State
化石	5079	5.16	0.9971	7443	Fossil
赛	5080	5.16	1.0947	3921	Game
还	5081	5.16	1.1843	62	Also
钢材	5082	5.16	0.9765	4918	Steel
科目	5083	5.16	0.7384	4867	Subject
卖	5084	5.16	1.0947	3219	Sell
治	5085	5.16	1.2993	1442	Treatment
一体	5086	5.16	0.8418	2187	One
概念	5087	5.16	1.2835	862	Concept
蓄	5088	5.16	0.6503	8314	Store
年初	5089	5.16	0.8657	2139	Early
工匠	5090	5.16	0.9971	7844	Artisan
下午	5091	5.16	1.1132	1702	Afternoon
旅行社	5092	5.16	1.4896	9786	Travel
施	5093	5.16	1.3607	2125	Impose
循环	5094	5.16	0.7918	2611	Cycle
史诗	5095	5.16	1.3756	8366	Epic
度	5096	5.16	1.0174	659	Degree
语气	5097	5.16	0.9553	9051	Modal
邦	5098	5.16	0.9765	5959	State
伸	5099	5.16	0.9116	6715	Stretch
整整	5100	5.16	0.7656	5533	Full
施行	5101	5.16	1.0759	3668	Apply
认购	5102	5.16	0.6181	8525	Subscription
缔约国	5103	5.16	1.2182	4073	Parties
近期	5104	5.16	0.7918	3739	Recent
住户	5105	5.16	1.0759	9067	Resident
economy	5106	5.16	1.4479	9287	economy
区划	5107	5.16	0.9553	4168	Zoning
稿件	5108	5.16	0.7918	6196	Manuscript
针织	5109	5.16	1.0174	9913	Knitting
出现	5110	5.16	1.2014	260	Appear
浪潮	5111	5.16	1.5954	4783	Wave
描述	5112	5.16	1.2014	1690	Description
电源	5113	5.16	0.7384	7890	Power supply
推论	5114	5.16	1.0373	7277	Inference
结果	5115	5.16	1.0947	409	Result
中期	5116	5.16	0.7918	2621	Interim
人物	5117	5.16	1.0174	640	Character
选票	5118	5.16	1.3303	7972	Ballot
不惜	5119	5.16	1.6458	8141	Not hesitate
风雨	5120	5.16	1.3303	5822	Wind and rain
观测	5121	5.16	1.2014	4412	Observations
较量	5122	5.16	1.2835	9273	Contest
葡萄牙	5123	5.16	0.7918	4968	Portugal
私营	5124	5.16	1.4337	1618	Private
用品	5125	5.16	0.9765	3939	Articles
编辑	5126	5.16	1.2014	1259	Edit
空间	5127	5.16	1.2513	1182	Space
键	5128	5.16	0.6181	4618	Key
罗斯	5129	5.16	0.8172	5478	Ross
total	5130	5.16	0.9765	4778	total
赴	5131	5.16	1.0759	5007	Go
日子	5132	5.16	1.0568	2245	Day
器械	5133	5.16	0.7103	6795	Instrument
棉	5134	5.16	0.5095	7895	Cotton
门口	5135	5.16	0.8418	8551	Doorway
支部	5136	5.16	1.5167	3961	Branch
中心	5137	5.16	1.4479	364	Center
它	5138	5.16	0.6503	75	It
乘	5139	5.16	1.0947	5200	Multiply
中层	5140	5.16	1.2014	8449	Middle
实况	5141	5.16	1.2182	8458	Fact
出現	5142	5.16	0.9971	9256	Appear
无论	5143	5.16	1.2513	923	Regardless
念	5144	5.16	1.2014	2654	Study
城墙	5145	5.16	1.2014	9014	City wall
缔约	5146	5.16	1.1493	4787	Contracting
物件	5147	5.16	0.7918	8791	Object
国	5148	5.16	1.1132	131	Country
蛋	5149	5.16	1.0947	8891	Egg
印度洋	5150	5.16	1.4049	8499	Indian Ocean
行使	5151	5.16	0.5841	1841	Exercise
幼	5152	5.16	1.4619	9104	Child
群体	5153	5.16	0.9553	1736	Group
改组	5154	5.16	0.9765	2843	Reshuffle
详	5155	5.16	1.4049	7246	Detailed
服	5156	5.16	1.2349	2413	Clothes
时时	5157	5.16	1.1493	8198	Constantly
改选	5158	5.16	1.0568	9080	Reelection
征求	5159	5.16	1.0373	4594	Solicit
通电	5160	5.16	0.9765	6767	Electrify
起身	5161	5.16	0.9337	8237	Get up
社论	5162	5.16	1.4479	5320	Editorial
课程	5163	5.16	0.9116	1835	Curriculum
按照	5164	5.16	0.9116	475	According to
合乎	5165	5.16	0.9116	4546	Conform
these	5166	5.16	1.1493	8069	these
连	5167	5.16	1.0174	1714	Even
等级	5168	5.16	1.3303	2117	Grade
态	5169	5.16	1.2513	2563	State
日趋	5170	5.16	1.3303	3984	Gradually
о	5171	5.16	1.2182	6312	о
简称	5172	5.16	0.9553	3273	Abbreviation
字眼	5173	5.16	1.1314	9026	Wording
牌照	5174	5.16	1.3303	9215	License
冲	5175	5.16	1.0947	4581	Punching
只要	5176	5.16	0.7384	980	As long as
口中	5177	5.16	1.0759	8778	Mouth
予以	5178	5.16	0.9337	1413	Be
法则	5179	5.16	0.7918	4622	Law
文中	5180	5.16	1.2835	2749	Text
生产	5181	5.16	1.1669	50	Produce
廉价	5182	5.16	1.6704	5968	Cheap
仲	5183	5.16	0.9765	5586	Chung
种类	5184	5.16	1.0568	2435	Species
独家	5185	5.16	1.4194	8656	Exclusive
注	5186	5.16	0.7656	2647	Note
来临	5187	5.16	0.9337	6505	Advent
大众化	5188	5.16	1.1669	6992	Popularization
委员会	5189	5.16	1.2014	265	Committee
继	5190	5.16	1.1314	3648	Continue
连队	5191	5.16	0.9971	8371	Company
购置	5192	5.16	1.0759	7652	Purchase
尺度	5193	5.16	0.9553	3599	Scale
its	5194	5.16	0.8657	5927	its
联结	5195	5.16	0.7918	9491	Link
两边	5196	5.16	0.9337	9322	Both sides of the
谓	5197	5.16	1.0759	6597	Call
整治	5198	5.16	1.2349	7714	Remediation
河水	5199	5.16	0.9971	9758	River
频	5200	5.16	1.2349	7958	Frequency
轮廓	5201	5.16	1.1493	6998	Contour
旁边	5202	5.16	0.9337	4306	Side
常年	5203	5.16	0.8418	9932	Perennial
意思	5204	5.16	1.2349	1322	Meaning
从	5205	5.16	1.0174	63	From
余年	5206	5.16	1.3607	3583	Years
放手	5207	5.16	1.0947	9192	Let go
多么	5208	5.16	1.1314	3116	How
地	5209	5.16	0.9116	40	Ground
集装箱	5210	5.16	0.8889	8385	Container
寺院	5211	5.16	1.1493	6605	Monastery
续	5212	5.16	0.8657	2508	Continue
反映论	5213	5.16	1.2182	9454	Theory of reflection
右边	5214	5.16	1.1132	8678	Right
权衡	5215	5.16	1.0759	8996	Balance
泽	5216	5.16	1.2182	4371	Ze
未婚	5217	5.16	1.2349	8900	Unmarried
全文	5218	5.16	0.8172	6125	Full text
物品	5219	5.16	0.5095	2450	Goods
宪政	5220	5.16	1.1493	6064	Constitutionalism
宫廷	5221	5.16	1.2835	7867	Palace
载	5222	5.16	1.2014	2479	Load
维吾尔	5223	5.16	1.2513	6268	Uighur
考证	5224	5.16	1.3149	6882	Research
事件	5225	5.16	1.1493	976	Event
天线	5226	5.16	1.1132	9579	Antenna
放下	5227	5.16	1.1493	7444	Put down
年级	5228	5.16	0.7384	4297	Year
半月	5229	5.16	0.8418	6907	Half
叙述	5230	5.16	0.9337	2433	Narrative
措施	5231	5.16	0.9765	471	Measure
奠基	5232	5.16	1.0373	9267	Lay a foundation
试点	5233	5.16	1.1132	2000	Pilot
工农	5234	5.16	1.1132	3704	Workers and peasants
民众	5235	5.16	0.8418	1986	People
history	5236	5.16	1.2349	9221	history
自从	5237	5.16	0.7103	3837	Since
会谈	5238	5.16	1.1843	3126	Talks
讲	5239	5.16	1.1843	1091	Speak
宗教	5240	5.16	1.4194	910	Religion
队伍	5241	5.16	1.2182	1107	Troop
幕	5242	5.16	0.7656	7989	Curtain
帕	5243	5.16	1.0947	6223	Handkerchief
年秋	5244	5.16	1.0174	4571	In the fall
概	5245	5.16	0.8657	6130	SUMMARY
三省	5246	5.16	1.2993	8818	Provinces
为	5247	5.16	0.8889	15	To
段落	5248	5.16	0.9765	6962	Paragraph
主张	5249	5.16	1.0373	964	Advocate
估算	5250	5.16	1.0174	5501	Estimates
尼泊尔	5251	5.16	1.1669	8439	Nepal
签字	5252	5.16	1.0759	3690	Signature
批量	5253	5.16	0.7384	5286	Batch
执政	5254	5.16	1.2835	3682	Ruling
显	5255	5.16	0.7656	2729	Show
一阵	5256	5.16	0.7103	5790	While
总称	5257	5.16	0.9553	8652	General
主体	5258	5.16	1.0568	708	Subject
考察	5259	5.16	1.1493	1345	Study
半导体	5260	5.16	0.8418	7440	Semiconductor
居住	5261	5.16	1.2349	1554	Live
前身	5262	5.16	1.0373	8954	Predecessor
民间	5263	5.16	1.1493	1307	Folk
场地	5264	5.16	0.8657	6134	Site
国之	5265	5.16	0.9337	4325	Country
天主教	5266	5.16	1.2993	4551	Catholic church
趋势	5267	5.14	1.0104	997	Trend
再度	5268	5.14	1.2456	5625	Once again
于	5269	5.14	0.8332	60	At
为了	5270	5.14	0.9691	242	In order to
纪	5271	5.14	1.0882	2900	Discipline
运用	5272	5.14	0.6704	885	Use
客房	5273	5.14	1.1608	9586	Guest room
篇幅	5274	5.14	0.9899	5004	Length
胚胎	5275	5.14	1.1430	9833	Embryos
人世	5276	5.14	0.9691	8539	Dead
初	5277	5.14	0.8084	1104	Early
资源	5278	5.14	1.1782	368	Resources
自治州	5279	5.14	1.1068	9208	Autonomous prefecture
调解	5280	5.14	1.3554	2920	Mediate
灵魂	5281	5.14	1.6414	2273	Soul
倘若	5282	5.14	1.1608	4782	If
中西	5283	5.14	0.8809	6685	Western
厂家	5284	5.14	0.7287	5293	Factory
含	5285	5.14	1.0104	3340	Contain
呼应	5286	5.14	1.3095	8537	Echo
